Title,Environments,Aliases,Owners,Primary URL (Site folder name),Department,Notes
NCIPMHort,"test, prod","ncipmhort.dl8.umn.edu, ncipmhort.dev.umn.edu, ncipmhort.stg.umn.edu",lamxx025,ncipmhort.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Identity and Well-being Research Lab,prod,"iwell-psych.dev.umn.edu, iwell-psych.stg.umn.edu",smoeller,iwell.psych.umn.edu,CLA - College of Liberal Arts,
Psychology 5993 Pathways,prod,"pathways5993-psych.dev.umn.edu, pathways5993-psych.stg.umn.edu",smoeller,pathways5993.psych.umn.edu,CLA - College of Liberal Arts,
Social Team Research in Promoting Health Equity,prod,"stripelab-psych.dev.umn.edu, stripelab-psych.stg.umn.edu",smoeller,stripelab.psych.umn.edu,CLA - College of Liberal Arts,
College of Liberal Arts,"dev, test, prod","cla.dev.umn.edu, cla.stg.umn.edu, www.cla.umn.edu, cla.umn.edu","simonw, thom7978",cla.umn.edu,CLA - College of Liberal Arts,
lctip.umn.edu,"dev, test, prod","lctip.dev.umn.edu, lctip.stg.umn.edu",sisom008,lctip.umn.edu,CLA - College of Liberal Arts,
Minnesota Multiphasic Personality Inventory (MMPI),prod,"mmpi.dl9.umn.edu, mmpi.dl9.dev.umn.edu, mmpi.dl9.stg.umn.edu",smoeller,mmpi.umn.edu,CLA - College of Liberal Arts,
Health and Eating Laboratory,prod,"mannlab-psych.dev.umn.edu, mannlab-psych.stg.umn.edu, mannlab-psych.dl9.umn.edu",smoeller,mannlab.psych.umn.edu,CLA - College of Liberal Arts,
"Human Attention, Memory, and Cognition",prod,"hamc-psych.dev.umn.edu, hamc-psych.stg.umn.edu, amclab.psych.umn.edu",smoeller,hamc.psych.umn.edu,CLA - College of Liberal Arts,
Language Testing Program,prod,"languagetesting.dev.umn.edu, languagetesting.stg.umn.edu",sisom008,languagetesting.umn.edu,CLA - College of Liberal Arts,
Minnesota Center for Twin and Family Research,prod,"mctfr.psych.dev.umn.edu, mctfr-psych.dl8.umn.edu, www.mctfr.psych.umn.edu",smoeller,mctfr.psych.umn.edu,CLA - College of Liberal Arts,
ANGST Lab,"test, prod","angst.dl8.umn.edu, angst.stg.umn.edu, angst.psych.umn.edu",smoeller,angst.umn.edu,CLA - College of Liberal Arts,
Writing in Psychology,"dev, prod","writing.psych.dl8.umn.edu, writing-psych.dev.umn.edu, writing.psych.umn.edu",smoeller,writing.psych.umn.edu,CLA - College of Liberal Arts,
CLA Intranet,"dev, test, prod","intranet-cla.dev.umn.edu, intranet-cla.stg.umn.edu, neighborhood.cla.umn.edu, www.neighborhood.cla.umn.edu, claneighborhood.umn.edu, www.claneighborhood.umn.edu",simonw,intranet.cla.umn.edu,CLA - College of Liberal Arts,
RAD Lab,"test, prod","radlab.stg.umn.edu, radlab.dev.umn.edu, radlab.dl9.umn.edu","kamp0182, smoeller",radlab.umn.edu,CLA - PSYCH - Psychology,
Olman Laboratory for Imaging and Vision,"test, prod","oliv.stg.umn.edu, oliv.dev.umn.edu, oliv.dl9.umn.edu",caolman,oliv.psych.umn.edu,CLA - PSYCH - Psychology,
Human Performance Teaching Laboratory,"test, prod","hptl.dl8.umn.edu, hptl.stg.umn.edu, hptl.dev.umn.edu","kin, sweet006",hptl.umn.edu,CLA - PSYCH - Psychology,
Sports Medicine Psychology Laboratory,"test, prod","smpl.stg.umn.edu, smpl.dev.umn.edu, smpl.dl8.umn.edu","kin, sweet006",smpl.umn.edu,CLA - PSYCH - Psychology,
Affordance Perception-Action Laboratory,"test, prod","apal.stg.umn.edu, apal.dev.umn.edu, apal.dl8.umn.edu","kin, sweet006",apal.umn.edu,CLA - PSYCH - Psychology,
Human and Sport Performance Laboratory,"test, prod","hspl.stg.umn.edu, hspl.dev.umn.edu, hspl.dl8.umn.edu","kin, sweet006",hspl.umn.edu,CLA - PSYCH - Psychology,
Laboratory of Integrative Human Physiology,"test, prod","lihp.stg.umn.edu, lihp.dev.umn.edu, lihp.dl8.umn.edu","kin, sweet006",lihp.umn.edu,CLA - PSYCH - Psychology,
School of Kinesiology - Graduate Student Resources,"test, prod","kingrad.stg.umn.edu, kingrad.dev.umn.edu, kingrad.dl8.umn.edu","sweet006, kin",kingrad.umn.edu,CLA - PSYCH - Psychology,
Skeletal Muscle Plasticity and Regeneration Laboratory,"test, prod","smprl.stg.umn.edu, smprl.dev.umn.edu, smprl.dl8.umn.edu","sweet006, kin",smprl.umn.edu,CLA - PSYCH - Psychology,
Exercise & Mental Health Research,"dev, test, prod","emh.stg.umn.edu, emh.dev.umn.edu, emh.dl8.umn.edu, emhl.umn.edu, healthymom.umn.edu","sweet006, kin",emh.umn.edu,CLA - PSYCH - Psychology,
Auditory Perception and Cognition Laboratory,"test, prod","apc.dl8.umn.edu, apc.stg.umn.edu, apc.psych.umn.edu",smoeller,sandbox-apc.psych.umn.edu,CLA - PSYCH - Psychology,
Engel Vision & Imaging Laboratory,"test, prod","engellab.dl8.umn.edu, engellab.stg.umn.edu, engellab.dev.umn.edu, engellab.psych.umn.edu",smoeller,engellab.umn.edu,CLA - PSYCH - Psychology,
Meehl Faculty Page,"test, prod","meehl.stg.umn.edu, meehl.dev.umn.edu, meehl.dl8.umn.edu",smoeller,meehl.umn.edu,CLA - PSYCH - Psychology,
TriCam,"test, prod","tricam.stg.umn.edu, tricam.dev.umn.edu, tricam.dl8.umn.edu",smoeller,tricam.psych.umn.edu,CLA - PSYCH - Psychology,
DeYoung Lab,"test, prod","deyoung.dl8.umn.edu, deyoung.stg.umn.edu, deyoung.psych.umn.edu",cdeyoung,deyoung.umn.edu,CLA - PSYCH - Psychology,
Social Interaction Lab,"test, prod","socialinteractionlab.dl8.umn.edu, socialinteractionlab.dev.umn.edu, socialinteractionlab.stg.umn.edu",smoeller,socialinteractionlab.psych.umn.edu,CLA - PSYCH - Psychology,
Vocational Psychology Research,"test, prod","vpr.dl8.umn.edu, vpr.stg.umn.edu, vpr.psych.umn.edu",smoeller,vpr.umn.edu,CLA - PSYCH - Psychology,
Brain and Behavioral Processes Laboratory,"test, prod","lucianalab.dl8.umn.edu, lucianalab.dev.umn.edu, lucianalab.stg.umn.edu",lucia003,lucianalab.psych.umn.edu,CLA - PSYCH - Psychology,
Gordon Legge,"test, prod","legge.dl8.umn.edu, legge-psych.dev.umn.edu, legge.stg.umn.edu, legge.dev.umn.edu, gellab.psych.umn.edu","gagex037, smoeller",legge.psych.umn.edu,CLA - PSYCH - Psychology,
The Center for the Study of the Individual and Society,"test, prod","csis.dl8.umn.edu, csis.dev.umn.edu, csis.stg.umn.edu","smoeller, msnyder",csis.psych.umn.edu,CLA - PSYCH - Psychology,
NICE Lab,"test, prod","nice-lab.dl8.umn.edu, nice-lab.dev.umn.edu, nice-lab.stg.umn.edu, nice-lab.umn.edu",moin,nice-lab.umn.edu,CLA - PSYCH - Psychology,
Center for Clinical Movement Science,"test, prod","ccms.dl8.umn.edu, ccms.stg.umn.edu, ccms.dev.umn.edu, www.ccms.umn.edu",smoeller,ccms.umn.edu,CLA - PSYCH - Psychology,
Psychology Intranet,"dev, test, prod","psych.dl9.umn.edu, psych.stg.umn.edu, psych.dev.umn.edu, intranet.psych.umn.edu","smoeller, amsuchy",intranet.psych.umn.edu,CLA - PSYCH - Psychology,
Center for Applied & Translational Sensory Science,"test, prod","catss.dl8.umn.edu, catss.stg.umn.edu",smoeller,catss.umn.edu,CLA - PSYCH - Psychology,
Decision Making Laboratory,prod,dmlab.psych.umn.edu,smoeller,dmlab.psych.umn.edu,CLA - PSYCH - Psychology,
Institute for Therapeutics Discovery & Development,"dev, test, prod","itdd-d9.dev.umn.edu, itdd-d9.stg.umn.edu, itdd-d9.prd.umn.edu, www.itdd.umn.edu","urweb, hinte019, dtadege, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",itdd.umn.edu,CoP - College of Pharmacy,
cems-dl8,"test, prod","cems.dl8.umn.edu, cems.stg.umn.edu",mcdo0486,cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Veglia Research Group,"test, prod","veglia.stg.umn.edu, veglia.dev.umn.edu, veglia.dl9.umn.edu",schul132,veglia.chem.umn.edu,CSE - College of Science & Engineering,
CSE,"oittst, dev, test, prod","cse.dev.umn.edu, cse.stg.umn.edu, cse.prd.umn.edu, cse.umn.edu, www.cse.umn.edu, bme.umn.edu, www.bme.umn.edu, alfordlab.umn.edu, isye.umn.edu, www.isye.umn.edu, hstm.umn.edu, www.hstm.umn.edu, ftpi.umn.edu, www.ftpi.umn.edu, wave.umn.edu, www.wave.umn.edu, cris.cs.umn.edu, www.cris.cs.umn.edu, ctc.chem.umn.edu, www.ctc.chem.umn.edu, www.astro.umn.edu, astro.umn.edu, www.unite.umn.edu, unite.umn.edu, mngs.umn.edu, www.mngs.umn.edu, datascience.umn.edu, www.datascience.umn.edu, mathcep.umn.edu, www.mathcep.umn.edu, data.umn.edu, bigdata.umn.edu, msse.umn.edu, www.msse.umn.edu, chem.umn.edu, www.chem.umn.edu, safl.umn.edu, www.safl.umn.edu, physics.umn.edu, www.physics.umn.edu, mcfam.math.umn.edu, charfac.umn.edu, www.charfac.umn.edu, cs.umn.edu, www.cs.umn.edu, www.cseit.umn.edu, vole.cse.umn.edu, cseit.umn.edu, minic.umn.edu, www.minic.umn.edu, me.umn.edu, www.me.umn.edu, umsec.umn.edu, www.umsec.umn.edu, cege.umn.edu, www.cege.umn.edu, www.cbi.umn.edu, cbi.umn.edu, co-op.umn.edu, www.co-op.umn.edu, justcode.cbi.umn.edu, www.justcode.cbi.umn.edu, irm.umn.edu, www.irm.umn.edu, cep.math.umn.edu, esci.umn.edu, www.esci.umn.edu, iprime.umn.edu, www.iprime.umn.edu, mnc.umn.edu, www.mnc.umn.edu, www.geo.umn.edu, www.cems.umn.edu, cems.umn.edu, math.umn.edu, www.math.umn.edu, tli.umn.edu, www.tli.umn.edu, ece.umn.edu, www.ece.umn.edu, mot.umn.edu, mdi.umn.edu, www.mdi.umn.edu, msst.umn.edu, www.mot.umn.edu, www.msst.umn.edu, csdco.umn.edu, www.csdco.umn.edu, csidea.umn.edu, cmdc.umn.edu, requests.cseit.umn.edu, ai-climate.umn.edu, mspire.umn.edu, minnovation.umn.edu, tmdc.umn.edu, csgsa.umn.edu","sgolley, readx028, b-hans, jbriquel, mhiguchi",cse.umn.edu,CSE - College of Science & Engineering,
SmartPal,prod,"smartpal.dev.umn.edu, smartpal.stg.umn.edu",deliu,smartpal.umn.edu,CSOM - Carlson School of Management,
Minneapolis 1934,prod,"minneapolis1934.stg.umn.edu, minneapolis1934.dev.umn.edu, www.minneapolis1934.umn.edu","rsimoes, kpoeppe",minneapolis1934.umn.edu,CSOM - Carlson School of Management,
Who Built Our Capitol,prod,"whobuiltourcapitol.dev.umn.edu, whobuiltourcapitol.stg.umn.edu","rsimoes, kpoeppe, gjer0005",whobuiltourcapitol.umn.edu,CSOM - Carlson School of Management,
Center for Integrative Leadership,"test, prod","leadership.dl8.umn.edu, leadership.dev.umn.edu, leadership.stg.umn.edu, www.leadership.umn.edu","mfoster, sbsilker, rhodesm",leadership.umn.edu,CSOM - Carlson School of Management,
Mincorps,"dev, test, prod","mincorps-d8.dev.umn.edu, mincorps-d8.stg.umn.edu, min-corps.umn.edu, mincorps.umn.edu","kafer005, chen5791, ray00071, miedema, amahoney, mtades",mincorps.umn.edu,CSOM - Carlson School of Management,
Carlson School of Management,"dev, test, prod","carlsonschool-d8.dev.umn.edu, carlsonschool-d8.stg.umn.edu, carlsonschool-d8.prd.umn.edu, carlsonschool.umn.edu, www.carlsonschool.umn.edu, www.csom.umn.edu, csom.umn.edu, carlsonschool.dev.umn.edu, carlsonschool.stg.umn.edu, carlson.umn.edu, www.carlson.umn.edu, driven.carlsonschool.umn.edu, entrepreneurship.umn.edu, www.entrepreneurship.umn.edu","luong108, gjer0005, janeflis, rhodesm, wils2865, schla503, rodr1019, mart6615, sanc0349",carlsonschool.umn.edu,CSOM - Carlson School of Management,
Blowing Snow Control Tools,"dev, test, prod","snowcontroltools.stg.umn.edu, snowcontroltools.dev.umn.edu, snowcontroltools.dl9.umn.edu","siqv0001, ande4255",snowcontroltools.umn.edu,CTS - Center for Transportation Studies,
MnCAV Ecosystem,"dev, test, prod","mncav.dev.umn.edu, mncav.stg.umn.edu, mncav.prd.umn.edu","dougl330, dougl361, angus025, santa195, derse008, siqv0001, ande4255",mncav.umn.edu,CTS - Center for Transportation Studies,
Airport Technical Assistance Program (AirTAP),"dev, test, prod","airtap.stg.umn.edu, airtap.dev.umn.edu, airtap.dl9.umn.edu, www.airtap.umn.edu","santa195, derse008, siqv0001, ande4255",airtap.umn.edu,CTS - Center for Transportation Studies,
Alphavirus Mutation Browser,prod,"virusclass2mut.dev.umn.edu, virusclass2mut.stg.umn.edu, virusclass2mut.umn.edu","zhangwei, hong0699",virusclass2mut.umn.edu,DENT - Dentistry,
Dr. Bruno Lima Lab,prod,"lima.dev.umn.edu, lima.stg.umn.edu",conradz,lima.umn.edu,DENT - Dentistry,
Bereiter Lab,"test, prod","bereiterlab.stg.umn.edu, bereiterlab.dev.umn.edu, bereiterlab.dl9.umn.edu",conradz,bereiterlab.umn.edu,DENT - Dentistry,
University of Minnesota Oral Pathology Laboratory,"dev, test, prod","oralpath.stg.umn.edu, oralpath.dev.umn.edu, oralpath.dl9.umn.edu",conradz,oralpath.umn.edu,DENT - Dentistry,
Oral Health Services for Older Adults,"test, prod","ohsoa.stg.umn.edu, ohsoa.dev.umn.edu, ohsoa.dl8.umn.edu, ohsoa.umn.edu","mlove, conradz",ohsoa.umn.edu,DENT - Dentistry,
The 40-Day Project,"dev, test, prod","40days.dev.umn.edu, 40days.stg.umn.edu","twigg015, amy",40days.umn.edu,EXT - Extension,
"Children, Youth, and Families at Risk","dev, test, prod","cyfar.org, cyfar.dev.umn.edu, cyfar.stg.umn.edu, cyfar.prd.umn.edu, www.cyfar.org","twigg015, amy",cyfar.umn.edu,EXT - Extension,
New Real Life Good Food,"dev, test, prod","reallifegoodfood-d10.dev.umn.edu, reallifegoodfood-d10.stg.umn.edu, reallifegoodfood-d10.prd.umn.edu, www.reallifegoodfood.umn.edu","twigg015, amy",reallifegoodfood.umn.edu,EXT - Extension,
Extension Staff Directory,"dev, test, prod","extensionstaff.dev.umn.edu, extensionstaff.stg.umn.edu","twigg015, amy",extensionstaff.umn.edu,EXT - Extension,
Climate,"dev, test, prod","climate.dev.umn.edu, climate.stg.umn.edu, climate.prd.umn.edu, www.climate.umn.edu","lamxx025, amy, twigg015",climate.umn.edu,EXT - Extension,
myextension.umn.edu,"dev, test, prod","myextension.dev.umn.edu, myextension.stg.umn.edu, www.myextension.umn.edu, myextension.umn.edu","eber0222, amy, twigg015",myextension.umn.edu,EXT - Extension,
Extension,"oittst, dev, test, prod","extension.dev.umn.edu, extension.stg.umn.edu, extension.prd.umn.edu, extension.umn.edu, www.extension.umn.edu, highlights.extension.umn.edu, schoolipm.umn.edu, restoringminnesota.umn.edu, www.restoringminnesota.umn.edu, manure.umn.edu, www.manure.umn.edu, myminnesotawoods.umn.edu, edacenter.umn.edu, www.myminnesotawoods.umn.edu, mnfarmfamilies.cfans.umn.edu, www3.extension.umn.edu, www.local.extension.umn.edu, local.extension.umn.edu, bedbugs.umn.edu, www.bedbugs.umn.edu, extension.oittst.umn.edu, www.mg.umn.edu","amy, twigg015",extension.umn.edu,EXT - Extension,
CARLA,"dev, test, prod","carla.dev.umn.edu, carla.stg.umn.edu, carla.prd.umn.edu, carla.umn.edu, www.carla.umn.edu","tdbedner, harri740, emomtche, dkeller",carla.umn.edu,GPS Alliance,
Go Minnesota,"dev, test, prod","gominnesota.dev.umn.edu, gominnesota.stg.umn.edu, gominnesota.prd.umn.edu","harri740, dkeller, emomtche, schul160, tdbedner",gominnesota.umn.edu,GPS Alliance,
GPS Mental Health App,"dev, test, prod","mentalhealth-global.dev.umn.edu, mentalhealth-global.stg.umn.edu, wellnessabroad.dev.umn.edu, wellnessabroad.stg.umn.edu","harri740, emomtche, tdbedner, dkeller",wellnessabroad.umn.edu,GPS Alliance,
Global Programs and Strategy Alliance,"dev, test, prod","global.dev.umn.edu, global.stg.umn.edu, global.prd.umn.edu, www.global.umn.edu, global.umn.edu, coil.umn.edu","biala012, tdbedner, harri740, emomtche, dkeller",global.umn.edu,GPS Alliance,
International Study,"dev, test, prod","intlstudy-d9.dev.umn.edu, intlstudy-d9.stg.umn.edu, intlstudy-d9.prd.umn.edu","tdbedner, harri740, emomtche, dkeller",intlstudy.umn.edu,GPS Alliance,
icgc.dev.umn.edu,"dev, test, prod","icgc.dev.umn.edu, icgc.stg.umn.edu, www.icgc.umn.edu","tdbedner, emomtche, harri740, dkeller",icgc.umn.edu,GPS Alliance,
China Center,"dev, test, prod","chinacenter.dev.umn.edu, chinacenter.stg.umn.edu, chinacenter.prd.umn.edu, www.chinacenter.umn.edu","emomtche, tdbedner, harri740",chinacenter.umn.edu,GPS Alliance,
Sustainable Development Goals,"dev, test, prod","sdg.dev.umn.edu, sdg.stg.umn.edu, sdg.prd.umn.edu, www.sdg.umn.edu, sdg.umn.edu","harri740, emomtche, tdbedner, dkeller",sdg.umn.edu,GPS Alliance,
China Office,"dev, test, prod","china-d9.dev.umn.edu, china-d9.stg.umn.edu, www.china.umn.edu","emomtche, tdbedner, harri740, dkeller",china.umn.edu,GPS Alliance,
Passport Office,prod,"passportoffice.dev.umn.edu, passportoffice.stg.umn.edu, passportoffice.dl9.umn.edu, www.passportoffice.umn.edu",ludtke,passportoffice.umn.edu,GPS Alliance,
GPS International Student and Scholar Services,"dev, test, prod","isss.dev.umn.edu, isss.stg.umn.edu, www.isss.umn.edu","dkeller, tdbedner, harri740, emomtche, schul160",isss.umn.edu,GPS Alliance,
Satellite,"dev, test, prod","sat-gps.dev.umn.edu, sat-gps.stg.umn.edu, sat-gps.prd.umn.edu","emomtche, tdbedner, harri740",sat.gps.umn.edu,GPS Alliance,
Learning Abroad Center - Drupal 8,"dev, test, prod","umabroad.dev.umn.edu, umabroad.stg.umn.edu, umabroad.prd.umn.edu, www.umabroad.umn.edu","harri740, emomtche, tdbedner, volna007",umabroad.umn.edu,GPS Alliance,
M Global,"dev, test, prod","mglobal.umn.edu, mglobal.dev.umn.edu, mglobal.stg.umn.edu, www.mglobal.umn.edu","ludtke, schul160, tdbedner, harri740, emomtche",mglobal.umn.edu,GPS Alliance,
Community Arts @ Health Sciences,prod,"hscommunityarts.dev.umn.edu, hscommunityarts.stg.umn.edu",engeb013,hscommunityarts.umn.edu,Health Sciences Administration,
RE Lab,prod,"relab.dev.umn.edu, relab.stg.umn.edu, relab.dl9.umn.edu, sane.umn.edu",dlv,relab.umn.edu,Health Sciences Administration,
Institute for Global Cancer Prevention Research,prod,"igcpr.dev.umn.edu, igcpr.stg.umn.edu, www.igcpr.umn.edu",dlv,igcpr.umn.edu,Health Sciences Administration,
Mouse Genetics Laboratory,prod,"mouse-genetics-laboratory.dev.umn.edu, mouse-genetics-laboratory.stg.umn.edu",dlv,mouse-genetics-laboratory.umn.edu,Health Sciences Administration,
Center for Translational Medicine,prod,translational-medicine.dev.umn.edu,dlv,translational-medicine.umn.edu,Health Sciences Administration,
academies-excellence.umn.edu,prod,academies-excellence.dev.umn.edu,dlv,academies-excellence.umn.edu,Health Sciences Administration,
Cancer Survivorship Conference,prod,"survivorship.umn.edu, survivorship.dev.umn.edu",ford0439,survivorship.umn.edu,Health Sciences Administration,
Youth Engagement and Action for Health,prod,"yeah.umn.edu, yeah.stg.umn.edu, yeah.dev.umn.edu","tsalkas, hhhweb",yeah.umn.edu,HHH - Humphrey School of Public Affairs,
Harrington Research Group,prod,"harrington.dev.umn.edu, harrington.stg.umn.edu",eliseh,harrington.umn.edu,HHH - Humphrey School of Public Affairs,
Humphrey School of Public Affairs,"dev, test, prod","hhh.dev.umn.edu, hhh.stg.umn.edu, hhh.umn.edu, www.hhh.umn.edu, its.hhh.umn.edu, news.hhh.umn.edu, iurif.umn.edu, www.iurif.umn.edu, humphreyschool.umn.edu, huberthumphreyschool.umn.edu, humphreyinstitute.umn.edu, huberthumphreyinstitute.umn.edu, umnpublicaffairs.umn.edu, humphreyschoolofpublicaffairs.umn.edu, humphrey.umn.edu, publicaffairs.umn.edu, publicpolicy.umn.edu, hhh.umn.edu, www.hhh.umn.edu, gains.umn.edu, cstep.hhh.umn.edu, stepnews.hhh.umn.edu, regionalities.hhh.umn.edu, leadingthoughts.hhh.umn.edu, alumninotes.hhh.umn.edu, globalnotes.hhh.umn.edu, cwgpp.umn.edu, cspg.umn.edu","tsalkas, dtadege, nels2371, ehunter, ferna692, kristinw, pbhamidi, peake035, matt, batchiso",hhh.umn.edu,HHH - Humphrey School of Public Affairs,
housing.umn.edu,"dev, test, prod","housing-d8.dev.umn.edu, housing-d8.stg.umn.edu, housing-d8.prd.umn.edu, www.housing.umn.edu, resnet.umn.edu, rentals.tc.umn.edu, offcampus.umn.edu, www.offcampus.umn.edu, www.resnet.umn.edu","broek023, fuchs142, phamx039, cdmeyer",housing.umn.edu,HRL - Housing & Residential Life,
Behavioral Physical Activity Laboratory (BPAL),"test, prod","bpal.stg.umn.edu, bpal.dev.umn.edu, bpal.dl8.umn.edu, yogamoves.umn.edu",sweet006,bpal.umn.edu,Kinesiology Administration (11222),
Laboratory of Physiological Hygiene and Exercise Science,"test, prod","lphes.stg.umn.edu, lphes.dev.umn.edu, lphes.dl8.umn.edu",sweet006,lphes.umn.edu,Kinesiology Administration (11222),
School of Kinesiology - Instructor Resources,"test, prod","kinstructor.stg.umn.edu, kinstructor.dev.umn.edu, kinstructor.dl8.umn.edu, kinstructor.umn.edu","sweet006, kin",kinstructor.umn.edu,Kinesiology Administration (11222),
Women Coaches Symposium,"test, prod","wcs.stg.umn.edu, wcs.dev.umn.edu, wcs.dl8.umn.edu","sweet006, kin",wcs.umn.edu,Kinesiology Administration (11222),
Global Institute for Responsible Sport Organizations,"test, prod","girso.dl8.umn.edu, girso.dev.umn.edu, girso.stg.umn.edu","sweet006, bens0746, kin",girso.umn.edu,Kinesiology Administration (11222),
School of Kinesiology Student Council,"dev, test, prod","kinsc.stg.umn.edu, kinsc.dev.umn.edu, kinsc.dl8.umn.edu","blewis, amahnan",kinsc.umn.edu,Kinesiology Administration (11222),
Law Library Digital Special Collections,"dev, test, prod","lawlibrarycollections.dev.umn.edu, lawlibrarycollections.stg.umn.edu",brown288,lawlibrarycollections.umn.edu,LAW,
Walter F. Mondale - Spokesman for Reform and Justice in the U.S. Senate,prod,"mondale-librarycollections-law.dev.umn.edu, mondale-librarycollections-law.stg.umn.edu, mondale.librarycollections.law.umn.edu",brown288,mondale-librarycollections.law.umn.edu,LAW,
Law D9,"dev, test, prod","law-d9.dev.umn.edu, law-d9.stg.umn.edu, law-d9.prd.umn.edu, www.law.umn.edu, community.law.umn.edu, abajlel.law.umn.edu, admit.law.umn.edu, business.law.umn.edu, corporateinstitute.law.umn.edu, humphrey.law.umn.edu, inside.law.umn.edu, library.law.umn.edu, m.library.law.umn.edu, metro.law.umn.edu, newamericans.law.umn.edu, thelaborlawyer.law.umn.edu, tort.law.umn.edu, www.community.law.umn.edu, www1.law.umn.edu, law.umn.edu","dtrexel, fuchs142, incex011, lim00180, byart",law.umn.edu,LAW,
Undergraduate Leadership Minor,"dev, test, prod","lead.dev.umn.edu, lead.stg.umn.edu, lead.umn.edu, www.lead.umn.edu","leibfrie, fonta056",lead.umn.edu,Lead-Up,
UMN East Asian Library,prod,"eal.dev.umn.edu, eal.stg.umn.edu",shuqi,eal.umn.edu,LIB - Libraries,
Libraries Staff Web,prod,"staff-lib.dev.umn.edu, staff-lib.stg.umn.edu, staff-lib.dl9.umn.edu","gormsby, adrayer",staff.lib.umn.edu,LIB - Libraries,
mappingprejudice.umn.edu,"dev, test, prod","mappingprejudice.dev.umn.edu, mappingprejudice.stg.umn.edu, mappingprejudice.prd.umn.edu","mjb, gormsby, corey101, akierig",mappingprejudice.umn.edu,LIB - Libraries,
Libraries,"dev, test, prod","www.lib.dev.umn.edu, www.lib.stg.umn.edu, lib.dev.umn.edu, lib.stg.umn.edu, lib.prd.umn.edu, plantinfo.umn.edu, www.plantinfo.umn.edu, lib.umn.edu, www.lib.umn.edu","gormsby, brams006, hans1794, mjb, naughton, jneveau, adrayer, barne102, lawans, akierig",www.lib.umn.edu,LIB - Libraries,
Health Sciences Libraries,"dev, test, prod","hsl-d8.dev.umn.edu, hsl-d8.stg.umn.edu, hsl-d8.prd.umn.edu, hsl.lib.umn.edu","gormsby, mjb, hans1794, jneveau, adrayer, naughton, brams006, barne102, akierig, lawans",hsl.lib.umn.edu,LIB - Libraries,
Lun Lab,prod,"lun.dev.umn.edu, lun.stg.umn.edu","adangol, xlun",lun.umn.edu,MED - Medical School,
BetterCareMN,prod,"bettercaremn.dev.umn.edu, bettercaremn.stg.umn.edu",adangol,bettercaremn.umn.edu,MED - Medical School,
