Title,Environments,Aliases,Owners,Primary URL (Site folder name),Department,Notes
The Gill Lab,prod,"gill.dev.umn.edu, gill.stg.umn.edu",kholmest,gill.umn.edu,CBS - College of Biological Sciences,
The Dong Lab,prod,"dong.dev.umn.edu, dong.stg.umn.edu",kholmest,dong.umn.edu,CBS - College of Biological Sciences,
Minneapolis-St. Paul Metropolitan Area (MSP) Long Term Ecological Research Program,"dev, prod","mspurbanlter.dev.umn.edu, mspurbanlter.stg.umn.edu",ljanssen,mspurbanlter.umn.edu,CBS - College of Biological Sciences,
GopheResearch,"dev, prod","gopheresearch.dl9.umn.edu, gopheresearch.dev.umn.edu, gopheresearch.stg.umn.edu","qures072, tjkautz",gopheresearch.umn.edu,CBS - College of Biological Sciences,
Bond Lab,prod,"bondlab.dev.umn.edu, bondlab.stg.umn.edu, bondlab.umn.edu",dbond,bondlab.umn.edu,CBS - College of Biological Sciences,
Schilling Lab,"test, prod","schillinglab.stg.umn.edu, schillinglab.dev.umn.edu, schillinglab.dl8.umn.edu",schillin,schillinglab.umn.edu,CBS - College of Biological Sciences,
Ishii Lab,"test, prod","ishii-lab.stg.umn.edu, ishii-lab.dl8.umn.edu, ishii-lab.dev.umn.edu",ishi0040,ishii-lab.umn.edu,CBS - College of Biological Sciences,
Web Anatomy,"dev, test, prod","webanatomy.dev.umn.edu, webanatomy.stg.umn.edu","chrislee, waltonen, swansen",webanatomy.umn.edu,CBS - College of Biological Sciences,
Center for Precision Plant Genomics,"test, prod","cppg.dev.umn.edu, cppg.dl8.umn.edu, cppg.stg.umn.edu",mleffler,cppg.umn.edu,CBS - College of Biological Sciences,
Mashek Laboratory,"test, prod","masheklab.dl8.umn.edu, masheklab.dev.umn.edu, masheklab.stg.umn.edu",dmashek,masheklab.umn.edu,CBS - College of Biological Sciences,
titus.dl.umn.edu,prod,titus.dl8.umn.edu,arthu038,titus.umn.edu,CBS - College of Biological Sciences,
Chen Lab,prod,chenlab.umn.edu,"chrislee, tjkautz",chenlab.umn.edu,CBS - College of Biological Sciences,
BTI,"dev, test, prod","bti.dev.umn.edu, bti.stg.umn.edu, bti.prd.umn.edu, bti.umn.edu, www.bti.umn.edu","michaelw, chrislee, waltonen",bti.umn.edu,CBS - College of Biological Sciences,
Restart,"dev, test, prod","restart.dev.umn.edu, restart.stg.umn.edu, restart.prd.umn.edu",bcross,restart.umn.edu,CCAPS - Continuing and Professional Studies,
CMGT@UMN,prod,"cmgt.stg.umn.edu, cmgt.dev.umn.edu, cmgt.dl9.umn.edu, cmgt.umn.edu",couli005,cmgt.umn.edu,CCAPS - Continuing and Professional Studies,
CCAPS NEW,"dev, test, prod","ccaps-d9.dev.umn.edu, ccaps-d9.stg.umn.edu, ccaps-d9.prd.umn.edu, www.ccaps.umn.edu, cce.umn.edu, www.cce.umn.edu, olli.umn.edu, www.olli.umn.edu, lifelong.umn.edu, www.lifelong.umn.edu, lifelonglearning.umn.edu, www.lifelonglearning.umn.edu, esl.umn.edu, www.esl.umn.edu, cceevents.umn.edu, www.cceevents.umn.edu, ccaps.stg.umn.edu, ccaps.dev.umn.edu, ccaps.umn.edu","bcross, todd0186",ccaps.umn.edu,CCAPS - Continuing and Professional Studies,
